Term	Freq	Standardized	CUI	SemanticType
"cardiovascular, hepatic, renal, respiratory, gastrointestinal ( gi ), endocrine, immunologic, dermatologic, hematologic, neurologic or psychiatric disease"	1	Psychiatric Disease	C0004936	[mobd]
"cardiovascular, hepatic, renal, respiratory, gastrointestinal, endocrine, immunologic, dermatologic, hematologic, neurologic or psychiatric disease"	1	Psychiatric Disease	C0004936	[mobd]
"cardiovascular, respiratory, renal, hematological, endocrinological, neurological or other somatic disease"	1	Disease	C0012634	[dsyn]
cardioversion	1	Cardioversion	C0013778	[topp]
carotid revascularization	1	Revascularization	C0581603	[topp]
carotid surgery	1	carotid surgery	C0741984	[topp]
carrying an apoe 4 allele	1	Apo E 4 Allele	C3642141	[gngm]
carvedilol	1	CARVEDILOL	C0054836	"[orch, phsu]"
carvediol	1	unmapped	unmapped	unmapped
cat scan	1	CAT Scan	C1547980	[inpr]
category fluency ( animals )	1	Animals	C0003062	[anim]
cbc	1	CBC	C0009555	[lbpr]
cdr ( clinical dementia rating ) score	1	SCORE	C0449820	[qnco]
central nervous system ( cns ) lymphoma	1	Central Nervous System Lymphoma	C0742472	[neop]
central nervous system diseases	1	Central Nervous System Diseases	C0007682	[dsyn]
central nervous system imaging	1	Imaging	C0079595	[diap]
central nervous system tumor	1	central nervous system Tumour	C0348374	[neop]
cerad behavioral rating scale	1	Behavioral Rating Scale	C0475483	[inpr]
cerebral abscesses	1	Cerebral Abscesses	C1510428	[dsyn]
cerebral amyloid angiopathy	1	Cerebral Amyloid Angiopathy	C0085220	[dsyn]
cerebral arteriovenous malformation	1	Cerebral Arteriovenous Malformation	C0917804	[cgab]
cerebral chemotherapy	1	"Chemotherapy, NOS"	C0392920	[topp]
cerebral circulation/metabolism	1	metabolism	C0025520	[ftcn]
cerebral contusion encephalomalacia	1	Encephalomalacia	C0014068	[dsyn]
cerebral damage	1	Cerebral damage	C0270611	[inpo]
cerebral hypoperfusion	1	Hypoperfusion	C0442856	[patf]
cerebral infection	1	"Infection, NOS"	C0009450	[dsyn]
cerebral mass	1	cerebral mass	C0742078	[dsyn]
cerebral substance defect	1	Defect	C1457869	[ftcn]
cerebral vascular event	1	Event	C0441471	[evnt]
cerebrospinal fluid	1	cerebrospinal fluid	C0007807	[ftcn]
cerebrospinal fluid ( csf ) amyloid ( a )-beta 1 - 42 levels	1	Levels	C0441889	[qlco]
cerebrospinal fluid (csf) biomarker	1	Biomarker	C0005516	[clna]
cerebrospinal fluid examination	1	Cerebrospinal fluid examination	C0430067	[lbpr]
cerebrospinal fluid profile	1	Profile	C1979963	[lbpr]
cerebrovascular clip	1	Clip	C1705205	[medd]
cerebrovascular condition	1	Cerebrovascular condition	C0007820	[dsyn]
cerebrovascular disease ( cvd )	1	CEREBROVASCULAR DISEASE	C0007820	[dsyn]
cerebrovascular diseases	1	CEREBROVASCULAR DISEASES	C0007820	[dsyn]
cerefolin nac	1	NAC	C3538756	[gngm]
charbroiled meats	1	Meats	C0025017	[food]
chemistry	1	Chemistry	C0201682	[lbpr]
chemotherapeutic agents	1	Chemotherapeutic agent	C0729502	[phsu]
chest pain of unclear etiology	1	Etiology	C1524003	[cnce]
chewing tobacco	1	Chewing Tobacco	C0008038	[sbst]
chief complaint	1	Chief Complaint	C0277786	[fndg]
child-bearing age	1	AGE	C0001779	[orga]
childs-pugh classes	1	Classes	C0456387	[inpr]
chinolone	1	unmapped	unmapped	unmapped
chloral hydrate	1	CHLORAL HYDRATE	C0008161	"[orch, phsu]"
cholecystectomy	1	CHOLECYSTECTOMY	C0008320	[topp]
cholesterol	1	CHOLESTEROL	C0008377	"[bacs, orch]"
cholesterol lowering medication	1	cholesterol lowering Medication	C0003277	[phsu]
choline agonists	1	agonists	C0243192	[phsu]
cholinergic compounds	1	Compound	C1706082	[chem]
cholinergic treatment	1	Treatment	C0087111	[topp]
cholinesterase drug	1	Drug	C0013227	[phsu]
cholinesterase-inhibitors	1	Cholinesterase Inhibitors	C0008425	"[orch, phsu]"
chronic disease	1	Chronic Disease	C0008679	[dsyn]
chronic diseases	1	Chronic Diseases	C0008679	[dsyn]
chronic heart failure	1	Chronic heart failure	C0264716	[dsyn]
chronic inflammatory bowel disease	1	INFLAMMATORY BOWEL DISEASE	C0021390	[dsyn]
chronic inflammatory diseases	1	Chronic inflammatory Diseases	C1290886	[dsyn]
chronic intracranial hypertension	1	INTRACRANIAL HYPERTENSION	C0151740	[dsyn]
chronic kidney disease	1	Chronic Kidney Disease	C1561643	[dsyn]
chronic pain	1	Chronic Pain	C0150055	[sosy]
chronic renal failure	1	Chronic Renal Failure	C1561643	[dsyn]
cimetidine	1	CIMETIDINE	C0008783	"[orch, phsu]"
ck	1	CK	C0010287	"[aapp, enzy]"
clcr	1	CLCR	C1413808	[gngm]
clinical chemistry	1	"Chemistry, Clinical"	C0008000	[bmod]
clinical chemistry panel	1	chemistry panel	C1254572	[lbpr]
clinical cvd	1	"CVD, NOS"	C0007222	[dsyn]
clinical dementia rating ( cdr	1	Rating	C0871208	[acty]
clinical dementia rating ( cdr ) scale	1	Clinical dementia rating scale	C0451074	[inpr]
clinical dementia rating ( cdr ) scores	1	Scores	C0449820	[qnco]
clinical dementia rating ( global cdr )	1	Global	C2348867	[qlco]
clinical dementia rating scale ( cdr ) score	1	SCORE	C0449820	[qnco]
clinical dementia rating scale- japanese version ( cdr-j ) score	1	SCORE	C0449820	[qnco]
clinical dementia rating scale- japanese version (cdr-j) score	1	SCORE	C0449820	[qnco]
clinical dementia ratings scale ( cdr )	1	Clinical dementia rating scale	C0451074	[inpr]
clinical disorder	1	Disorder	C0012634	[dsyn]
clinical examination	1	Clinical examination	C0031809	[hlca]
clinical instability	1	Instability	C1444783	[fndg]
clinical lab tests	1	test	C0392366	[inpr]
clinical laboratory assessment	1	Assessment	C1516048	[acty]
clinical laboratory test results	1	Result	C2825142	[fndg]
clinical mri	1	MRI	C0024485	[diap]
clinical peripheral artery disease	1	Peripheral Artery Disease	C1704436	[dsyn]
clinical symptomatic orthostatic hypotension	1	"HYPOTENSION, ORTHOSTATIC"	C0020651	[fndg]
clinical test(s)	1	/s	C0565930	[qnco]
clinical trial drugs	1	clinical trial drug	C0013175	[resa]
clinical-anamnestic	1	Clinical	C0205210	[qlco]
clip	1	Clip	C1705205	[medd]
clonazepam	1	CLONAZEPAM	C0009011	"[orch, phsu]"
clopidogrel	1	CLOPIDOGREL	C0070166	"[orch, phsu]"
clotting disorder	1	Clotting disorder	C0005779	[dsyn]
cns active agents	1	Active	C0205177	[ftcn]
cns active meds	1	MEDS	C3280240	[dsyn]
cns disease	1	CNS Disease	C0007682	[dsyn]
cns tumor	1	CNS Tumour	C0085136	[neop]
cns vasculitis	1	CNS Vasculitis	C0751878	[dsyn]
coagulation disorders	1	Coagulation Disorders	C0005779	[dsyn]
coagulation indices	1	Coagulation index	C3888347	[clna]
cockcroft-gault-formula	1	Cockcroft-Gault formula	C2924627	[qnco]
cod liver oil	1	COD LIVER OIL	C0009213	"[food, orch, phsu]"
coffee	1	COFFEE	C1365948	[food]
cognitive / neuropsychological testing	1	Neuropsychological testing	C0027902	[diap]
cognitive abilities	1	Cognitive ability	C0392334	[menp]
cognitive and functional decline	1	Functional	C0205245	[ftcn]
cognitive and motor impairment	1	Impairment	C0684336	[patf]
cognitive assessment	1	Cognitive Assessment	C0870300	[diap]
cognitive change index score	1	SCORE	C0449820	[qnco]
cognitive complaint	1	Complaint	C0277786	[fndg]
cognitive complaints	1	complaints	C0277786	[fndg]
cognitive difficulties	1	difficulties	C1299586	[fndg]
cognitive enhancer	1	Enhancer	C0086222	[nnon]
cognitive enhancers	1	"Enhancers, Cognitive"	C0242913	[phsu]
cognitive functions	1	Cognitive functions	C0392335	[menp]
cognitive global rating	1	Rating	C0871208	[acty]
cognitive impairment and decline	1	Cognitive Impairment	C0338656	[mobd]
cognitive impairments	1	cognitive impairments	C0338656	[mobd]
cognitive or memory impairment	1	Memory impairment	C1963167	[patf]
cognitive or neurological deficits	1	Neurological deficit	C0521654	[fndg]
cognitive rehabilitation	1	cognitive rehabilitation	C0870303	[topp]
cognitive test	1	test	C0392366	[inpr]
cognitive test scores	1	Scores	C0449820	[qnco]
cognitive testing	1	testing	C0392366	[inpr]
cognitive therapy	1	Cognitive Therapy	C0009244	[topp]
cognitive-enhancing drugs	1	Drugs	C0013227	[phsu]
cognitively and neurologically health	1	Health	C0018684	[idcn]
cognitively impaired	1	Impaired	C0221099	[ftcn]
collard greens	1	COLLARD GREENS	C0524503	[food]
colombia-suicide severity rating scale	1	rating scale	C0681889	"[inpr, qnco]"
color-blindness	1	Colorblindness	C0858618	[dsyn]
columbia university scale for psychopathology in alzheimer's disease ( cuspad )	1	Alzheimer's Disease	C1521724	[patf]
commercial memantine	1	MEMANTINE	C0025242	"[orch, phsu]"
communication functional ratings - swallowing domain	1	Domain	C1883221	[cnce]
complaint of memory loss	1	MEMORY LOSS	C0751295	[sosy]
complete blood count ( cbc )	1	CBC	C0009555	[lbpr]
complete blood count [cbc]	1	CBC	C0009555	[lbpr]
complications	1	complications	C1171258	[patf]
components of the vaccine	1	Vaccine	C0042210	"[imft, phsu]"
computed tomography [ct]	1	Computed Tomography	C1552357	[prog]
computed tomography ct	1	CT	C0007673	[geoa]
computerized axial tomographic scan	1	Scan	C0441633	[diap]
conceptual disorganization	1	Conceptual	C1706427	[cnce]
concomitant disorder	1	concomitant Disorder	C0243087	[patf]
concomitant illness	1	Illness	C0221423	[sosy]
conduction defect abnormalities	1	Abnormalities	C0000768	[cgab]
conduction disorders	1	CONDUCTION DISORDERS	C0264886	[patf]
confluent hemispheric deep white matter lesions	1	White matter lesions	C2752009	[fndg]
confluent microvascular disease	1	Disease	C0012634	[dsyn]
confusion	1	Confusion	C1963086	[fndg]
congenital long q-t syndrome	1	Long Q-T syndrome	C0023976	[dsyn]
cons-indications	1	Indications	C0392360	[idcn]
contra-indicated	1	Contra-indicated	C1444657	[fndg]
contraception	1	Contraception	C0700589	[topp]
contraceptive method(s)	1	S'	C2603362	[clna]
contraindicating	1	unmapped	unmapped	unmapped
contrast agent gadovist	1	Gadovist	C0388020	"[irda, orch]"
contributing factor to dementia	1	dementia	C0011265	[mobd]
controlled word association ( cfl ) category naming	1	"Naming, NOS"	C0233735	[menp]
contusion	1	CONTUSION	C0009938	[inpo]
convulsion	1	CONVULSION (NOS)	C0036572	[sosy]
cornell	1	unmapped	unmapped	unmapped
cornell scale for depression in dementia (csdd) scores	1	Scores	C0449820	[qnco]
coronary artery bypass graft	1	coronary artery bypass graft	C1260596	[medd]
coronary artery stent	1	Coronary Artery Stent	C0687568	[medd]
coronary bypass surgery	1	coronary bypass surgery	C0010055	[topp]
coronary syndrome	1	Syndrome	C0039082	[dsyn]
corrected near visual acuity of snellen	1	Near visual acuity	C0429541	[fndg]
corrected qt (qtc) interval	1	QTC interval	C0489625	[clna]
coumarin-derived anti-coagulants	1	anti-coagulants	C0848112	[topp]
cranial aneurysm	1	cranial aneurysm	C0007766	[dsyn]
cranial arteritis	1	CRANIAL ARTERITIS	C1956390	[dsyn]
craniocerebral injury	1	"Injury, Craniocerebral"	C0018674	[inpo]
craniocerebral trauma	1	Craniocerebral Trauma	C0018674	[inpo]
creatinin-clearance	1	Clearance	C2825073	[npop]
creatinine level	1	Creatinine level	C0428279	[fndg]
creutzfeldt-jakob dementia	1	dementia	C0011265	[mobd]
creutzfeldt-jakob disease	1	CREUTZFELDT-JAKOB DISEASE	C0022336	[dsyn]
creutzfeldt-jakob disease ( cjd )	1	CREUTZFELDT-JAKOB DISEASE	C0022336	[dsyn]
"criteria of dsm-iv, nincds-adrda"	1	DSM IV	C0220952	[inpr]
critical limb ischemia	1	critical limb ischemia	C1142264	[patf]
crp	1	CRp	C3890735	[fndg]
csf a beta 42	1	Beta	C2004068	[qlco]
csf a-42 levels	1	Levels	C0441889	[qlco]
"csf levels of ab, p-tau"	1	Tau	C1720655	[inpr]
csf results	1	Result	C2825142	[fndg]
ct/mri	1	MRI	C0024485	[diap]
cup/disc asymmetry	1	Asymmetry	C0332514	[spco]
cup/disc ratio	1	Cup-disc ratio	C0423471	[fndg]
cupping	1	Cupping	C0394663	[topp]
cutaneous or soft tissue infection	1	SOFT TISSUE INFECTION	C0149778	[dsyn]
cvd diseases	1	Diseases	C0012634	[dsyn]
cx516	1	CX516	C0528458	[orch]
cy	1	CY	C0010622	[geoa]
cyclosporin	1	Cyclosporin	C0010592	"[aapp, phsu]"
cyp 450 3a4	1	CYP	C0010762	"[aapp, enzy]"
cyp2c19 inhibitors	1	"Inhibitors, CYP2C19"	C3850059	[phsu]
cyp2c8	1	CYP2C8	C1413873	[gngm]
cyp2c9 inducers	1	"Inducers, CYP2C9"	C3850046	[phsu]
cyp3a4 inhibitors	1	"Inhibitors, CYP3A4"	C3850053	[phsu]
cyp3a4 strong inhibitors	1	Strong	C0442821	[qlco]
cytochrom p450 3a4 -inhibitors or -inductors	1	Inductor	C1708503	[mnob]
cytochrom p450-isoenzym 2d6	1	Cytochrome P450 2D6	C0057223	"[aapp, enzy]"
cytochrome cyp3a4 enzymes	1	ENZYMES	C0014442	"[enzy, orch]"
cytotoxic drug therapy	1	Cytotoxic drug therapy	C0677881	[topp]
cytotoxic t cell	1	Cytotoxic T Cell	C0039195	[cell]
dad	1	DAD	C3641946	[inpr]
deaf	1	Deaf	C1547302	[inpr]
deep brain stimulators	1	brain stimulators	C0810489	[medd]
deep vein thrombosis	1	DEEP VEIN THROMBOSIS	C0149871	[dsyn]
deficits in hearing	1	Hearing	C0018767	[phsf]
deficits of the episodic memory	1	Episodic Memory	C0561843	[menp]
dehydration	1	DEHYDRATION	C0011175	[dsyn]
delayed paragraph recall z-scores	1	z scores	C0871421	[qnco]
delayed recall on verbal learning test	1	test	C0392366	[inpr]
delusional disorder	1	Delusional Disorder	C0011251	[mobd]
dementia arising from other diseases	1	Diseases	C0012634	[dsyn]
dementia associated with parkinson's disease	1	PARKINSON DISEASE	C0030567	[dsyn]
dementia due to non-alzheimer's etiology	1	Etiology	C1524003	[cnce]
dementia in other specified diseases	1	Diseases	C0012634	[dsyn]
dementia not of the alzheimer's type	1	TYPE	C0332307	[qlco]
dementia of alzheimers type	1	TYPE	C0332307	[qlco]
dementia of other cause	1	cause	C0015127	[ftcn]
dementing illness	1	Illness	C0221423	[sosy]
demyelinated disease	1	demyelinated diseases	C0011303	[dsyn]
dense cataracts	1	CATARACTS	C0086543	[acab]
dependence	1	Dependence	C0439857	[mobd]
depression drugs	1	Drugs	C0013227	[phsu]
depression rating scale( s )	1	/s	C0565930	[qnco]
depression score	1	Depression score	C3483981	[clna]
depressive episode resistant	1	Resistant	C0332325	[ftcn]
depressive syndrome	1	Depressive Syndrome	C0086133	[mobd]
desvenlafaxine	1	DESVENLAFAXINE	C1880288	"[orch, phsu]"
detached retinas	1	Detached retina	C0035305	[dsyn]
deterioration	1	Deterioration	C0868945	[phpr]
developmental delay	1	Developmental delay	C0557874	[fndg]
developmental syndromes	1	Syndromes	C0039082	[dsyn]
deviations from normal	1	NORMAL	C0205307	[qlco]
devic's disease	1	DEVIC DISEASE	C0027873	[dsyn]
device	1	DEVICE	C0025080	[medd]
dexa measures	1	Measure	C0242485	[ftcn]
dexa scan	1	"Scan, DXA"	C1959592	[diap]
dexedrine	1	Dexedrine	C0591355	"[orch, phsu]"
dextroamphetamine sulphate	1	Dextroamphetamine Sulphate	C0011810	"[orch, phsu]"
dha	1	dha's	C0142831	"[irda, orch]"
diabetic retinopathy	1	DIABETIC RETINOPATHY	C0011884	[dsyn]
diagnosis	1	DIAGNOSIS	C1704656	[resa]
diagnosis and statistical manual of mental disorders ( dsm-iv-tr )	1	TR	C3814410	"[aapp, enzy]"
"diagnostic and statistical manual of mental diseases, 4th edition ( dsm-iv )"	1	DSM IV	C0220952	[inpr]
diagnostic and statistical manual of mental disorders	1	Diagnostic and Statistical Manual of Mental Disorders	C1136324	[inpr]
diagnostic and statistical manual of mental disorders - substance related disorders ( dsm-iv ) criteria	1	Criteria	C0243161	[inpr]
diagnostic and statistical manual of mental disorders ( dsm )	1	Diagnostic and Statistical Manual of Mental Disorders	C1136324	[inpr]
"diagnostic and statistical manual of mental disorders, 4th edition ( dsm-iv ) criteria"	1	Criteria	C0243161	[inpr]
"diagnostic and statistical manual of mental disorders, 4th edition, text revised ( dsm iv tr ) criteria"	1	Criteria	C0243161	[inpr]
diagnostic and statistical manual-iv ( dsm-iv ) criteria	1	Criteria	C0243161	[inpr]
diazepam	1	DIAZEPAM	C0012010	"[orch, phsu]"
digital 12 -lead ecg readings	1	Readings	C0034754	[dora]
dilantin	1	Dilantin	C0699512	"[orch, phsu]"
diltiazem	1	DILTIAZEM	C0012373	"[orch, phsu]"
dimebon	1	Dimebon	C0058188	"[orch, phsu]"
direct bilirubin	1	Direct bilirubin	C0236556	"[bacs, orch]"
disc hemorrhage	1	Disc hemorrhage	C1864658	[fndg]
discontinue	1	Discontinue	C1706472	[inpr]
disease modifier	1	Disease Modifier	C1511984	[cnce]
disease states	1	states	C1301808	[geoa]
disruptive agitated behaviors	1	AGITATED	C0085631	[sosy]
distressing psychotic symptoms	1	psychotic symptoms	C0871189	[sosy]
diuretics	1	DIURETICS	C0012798	[phsu]
dnri	1	unmapped	unmapped	unmapped
docsahexanoic acid	1	Acid	C0001128	[chem]
donated	1	unmapped	unmapped	unmapped
donation of blood	1	BLOOD	C0229664	[bdsu]
donation or loss	1	Loss	C1517945	[qnco]
donepezil medication	1	Medication	C0013227	[phsu]
dopamine agonist	1	Dopamine Agonist	C0178601	[phsu]
dopaminergic agents	1	DOPAMINERGIC AGENTS	C0013036	[phsu]
dopaminergic antagonists	1	Dopaminergic Antagonists	C0242702	[phsu]
dosages	1	Dosages	C0178602	[qnco]
dose/administration	1	Administration	C0001554	[ocac]
down's syndrome	1	Downs Syndrome	C0013080	"[cgab, dsyn]"
doxycycline	1	DOXYCYCLINE	C0013090	"[antb, orch]"
drinking	1	Drinking	C0001948	[inbe]
drug (including alcohol) abuse	1	ALCOHOL ABUSE	C0085762	[mobd]
drug absorption	1	drug absorption	C0678745	[phsf]
drug absorption distribution	1	Distribution	C0520511	[idcn]
drug abuse and dependency	1	Dependency	C1546937	[idcn]
drug addiction	1	"Addiction, Drug"	C1510472	[mobd]
drug dependence or abuse	1	ABUSE	C0013146	[mobd]
drug or alcohol dependency or abuse	1	ABUSE	C0013146	[mobd]
drug/alcohol dependence or abuse	1	ABUSE	C0013146	[mobd]
drugs with cholinergic properties	1	properties	C0871161	[qlco]
drugs with significant anticholinergic or antihistaminic properties	1	properties	C0871161	[qlco]
dsm	1	unmapped	unmapped	unmapped
dsm iv and nincds-adrda criteria	1	Criteria	C0243161	[inpr]
dsm iv-r criteria	1	Criteria	C0243161	[inpr]
dsm iv-tr	1	TR	C3814410	"[aapp, enzy]"
dsm-iv 290.0	1	0%	C3842591	[fndg]
"dsm-iv and nincds/adrda, dubois-criteria 2007"	1	Criteria	C0243161	[inpr]
dsm-iv and ninds criteria	1	Criteria	C0243161	[inpr]
dsm-iv axis i disorder	1	Disorder	C0012634	[dsyn]
dsm-iv text revision ( tr ) criteria	1	Criteria	C0243161	[inpr]
dsm-iv-r and nincds-adrda criteria	1	Criteria	C0243161	[inpr]
dsm-iv15	1	unmapped	unmapped	unmapped
dsm-v	1	DSM-V	C1137105	[inpr]
dsmiv criteria	1	Criteria	C0243161	[inpr]
dual-energy x-ray absorpometry ( dexa ) scan	1	Scan	C0441633	[diap]
dubois criteria	1	Criteria	C0243161	[inpr]
dyslipidaemia	1	Dyslipidemia	C0242339	[dsyn]
dyslipidemia	1	Dyslipidemia	C0242339	[dsyn]
dyspnea	1	DYSPNOEA	C0013404	[sosy]
early mild cognitive impairment ( emci )	1	"Cognitive impairment, mild"	C1270972	[mobd]
ebs score	1	SCORE	C0449820	[qnco]
ecg abnormality	1	ECG abnormality	C1832603	[fndg]
ecg examination	1	ECG NOS	C1623258	[diap]
ecg heart rate	1	Heart Rate	C0018810	[clna]
ecg tests	1	test	C0392366	[inpr]
echocardiogram	1	ECHOCARDIOGRAM	C0013516	[diap]
echocardiography	1	Echocardiography	C0013516	[diap]
ecstasy	1	Ecstasy	C1266617	[lbpr]
ect treatment	1	Treatment	C0087111	[topp]
eeg	1	"EEG, NOS"	C0013819	[diap]
eeg examination	1	"EEG, NOS"	C0013819	[diap]
egfr	1	EGFR	C1739039	"[aapp, rcpt]"
eicosapentanoic acid	1	Eicosapentanoic Acid	C0000545	"[bacs, orch, phsu]"
ejection fraction	1	Ejection fraction	C2700378	[fndg]
ekg leads	1	???lead	C0023175	"[elii, hops]"
elderberry products	1	Products	C1514468	[enty]
elective surgery	1	Elective Surgery	C0206058	[topp]
electrical device	1	Device	C0699733	[mnob]
electrocardiogram ( ekg )	1	EKG	C0013798	[fndg]
electrocardiogram (ecg)	1	Electro-Cardiogram	C1547122	[spco]
electrocardiograms ( ecgs )	1	ecgs	C0013798	[fndg]
electroconvulsive therapy	1	Electroconvulsive Therapy	C0013806	[topp]
electroconvulsive therapy ( ect )	1	Electroconvulsive Therapy	C0013806	[topp]
electroconvulsive therapy treatment	1	Treatment	C0087111	[topp]
electroencephalogram	1	Electro-Encephalogram	C1547121	[spco]
elements of sunphenon egcg	1	EGCG	C0059438	"[orch, phsu]"
embedded metal fragments	1	fragments	C0332255	[ftcn]
emotional problems	1	Emotional problems	C0677660	[mobd]
encephalitides	1	ENCEPHALITIS	C0014038	[dsyn]
"endocrine, gastrointestinal, cardiovascular, hematological, hepatic, immunological, renal, respiratory, genitourinary or major neurological abnormalities or diseases"	1	Diseases	C0012634	[dsyn]
endovascular neurosurgery	1	neuro surgery	C0524850	[topp]
endovascular stent	1	Stent	C0038257	[medd]
enzyme	1	Enzyme	C0014442	"[enzy, orch]"
epa + dha	1	dha's	C0142831	"[irda, orch]"
epileptic seizures	1	Epileptic seizures	C0014544	[dsyn]
erythema multiforme major	1	Erythema Multiforme Major	C0038325	[dsyn]
escitalopram	1	ESCITALOPRAM	C1099456	"[orch, phsu]"
essential hypertension	1	Essential Hypertension	C0085580	[dsyn]
estimated glomular filtration rate egfr	1	EGFR	C1739039	"[aapp, rcpt]"
estimated verbal intelligence	1	Intelligence	C0021704	[menp]
etiologic cause	1	Cause	C1524003	[cnce]
etiology	1	Etiology	C1524003	[cnce]
evaluation	1	Evaluation	C0220825	[hlca]
event	1	Event	C0441471	[evnt]
exaggerated pharmacological sensitivity or hypersensitivity	1	Hypersensitivity	C0020517	[patf]
excluded antidiabetic medication	1	Antidiabetic Medication	C0935929	[phsu]
exclusionary medications	1	Medications	C2598133	[clna]
exelon patch	1	Patch	C0991556	[medd]
exercise contraindications	1	contraindications	C0079164	[qlco]
exfoliative dermatitis	1	"DERMATITIS, EXFOLIATIVE"	C0011606	[dsyn]
experimental drugs	1	Experimental Drugs	C0013230	[phsu]
experimental immunotherapeutics	1	Experimental	C1517586	[qlco]
experimental medications	1	Medications	C2598133	[clna]
experimental treatment	1	Experimental Treatment	C0949266	[topp]
extensive periventricular white matter disease	1	Periventricular white matter disease	C0023529	[dsyn]
extensive radiological examination	1	radiologic examination	C0043299	[diap]
extra pyramidal signs	1	Pyramidal signs	C0234132	[sosy]
extraaxial macroscopic large vessel ischemic stroke	1	Ischemic Stroke	C0948008	[dsyn]
extrapyramidal symptoms	1	Extrapyramidal symptoms	C0234133	[sosy]
eye surgery	1	eye surgery	C0038901	[topp]
eyedrops	1	Eyedrops	C0015399	[bodm]
f- 18	1	F-	C0016327	"[inch, phsu]"
factor v leiden	1	factor V Leiden	C0380964	[aapp]
factor xa inhibitors	1	Factor Xa Inhibitors	C2267054	[moft]
falls	1	Falls	C0000921	[inpo]
familial autosomal-dominant inherited ad	1	INHERITED	C0439660	[ftcn]
family history	1	FAMILY HISTORY	C0241889	[fndg]
fasting blood glucose	1	Fasting blood glucose	C0428568	[lbpr]
fasting glucose levels	1	fasting glucose level	C0202045	[lbpr]
fasting plasma glucose level	1	fasting plasma glucose level	C0583513	[lbpr]
fasting triglycerides	1	TRIGLYCERIDES	C0041004	"[bacs, orch]"
father children	1	Children	C0008059	[aggp]
fazeka scale	1	Scale	C0349674	[inpr]
fazekas	1	unmapped	unmapped	unmapped
fbb pet scan	1	PET SCAN	C0032743	[diap]
fda approved medications	1	Medications	C2598133	[clna]
fda-approved alzheimer's treatments	1	Treatments	C0087111	[topp]
fdg-pet	1	FDG PET	C0872169	[diap]
fdg-pet imaging	1	Imaging	C0079595	[diap]
febrile illness	1	Febrile illness	C0743841	[dsyn]
females	1	Females	C0015780	[orga]
ferromagnetic implants	1	Implants	C0021102	[medd]
ferromagnetic metal foreign bodies	1	Metallic Foreign Bodies	C1720389	[inpo]
ferrous ( magnetic ) or electronic implants	1	Implants	C0021102	[medd]
fertile	1	Fertile	C0015895	[orgf]
fev1	1	FEV(1)	C1561566	[fndg]
fev1/fvc	1	FEV1/FVC	C0802741	[clna]
fibromyalgia	1	FIBROMYALGIA	C0016053	[dsyn]
findings	1	findings	C2607943	[ftcn]
fish intake	1	Fish intake	C0556216	[fndg]
fish oil	1	Fish oil	C0556145	[food]
fish oil capsules	1	Capsules	C0006935	[bodm]
flecinid	1	unmapped	unmapped	unmapped
florbetapir positron emission tomography ( pet ) scan	1	Positron Emission Tomography Scan	C0032743	[diap]
flutemetamol ( 18f ) injection formulation	1	Formulation	C0524527	[resa]
focal	1	FOCAL	C0205234	[spco]
focal brain lesions	1	brain lesions	C0221505	[dsyn]
focal changes	1	changes	C0392747	[ftcn]
focal lesion	1	Lesion	C0221198	[fndg]
focal neurological deficit	1	Neurological deficit	C0521654	[fndg]
focal or vascular intracranial pathology	1	Pathology	C0030664	[bmod]
focal structural lesion	1	Lesion	C0221198	[fndg]
focal structural loss of brain matter	1	Brain	C1269537	[bpoc]
folate	1	Folate	C0178638	"[orch, phsu, vita]"
"folate, vitamin b 12 and other b complex deficiencies"	1	deficiency	C1623416	[qlco]
"folate, vitamin b12 or other b complex deficiencies"	1	deficiency	C1623416	[qlco]
folic acid	1	FOLIC ACID	C0016410	"[orch, phsu, vita]"
follicle stimulating hormone [fsh] level	1	Follicle stimulating hormone level	C0202022	[lbpr]
follow-up labs	1	Labs	C0587081	[fndg]
folstein mini-mental state exam score	1	Exam	C0582103	[hlca]
folstein mini-mental status examination total score	1	Total Score	C2964552	[qnco]
folstein mmse	1	MMSE	C0451306	[diap]
food additives	1	Food Additives	C0016453	[food]
formoterol	1	FORMOTEROL	C0060657	"[orch, phsu]"
fracture	1	FRACTURE	C0016658	[inpo]
fractures	1	FRACTURES	C0016658	[inpo]
free and cued selective reminding test	1	test	C0392366	[inpr]
free recall	1	Recall	C0034770	[menp]
freedom from disease	1	Disease	C0012634	[dsyn]
frontal lobe dementia	1	Frontal lobe dementia	C0338455	[dsyn]
frontal systems behavior scale	1	Scale	C0349674	[inpr]
fronto-temporal dementia ( ftd )	1	dementia	C0011265	[mobd]
fsh	1	unmapped	unmapped	unmapped
fsh levels	1	fsh levels	C0428406	[lbtr]
ft4 levels	1	Levels	C0441889	[qlco]
fta-abs	1	FTA-Abs	C2987207	[lbpr]
functional assessment staging ( fast )	1	Staging	C0332305	[ftcn]
functional disability	1	functional disability	C0872173	[fndg]
functional disorders	1	functional disorders	C0277785	[patf]
functional impairment	1	Impairment	C0221099	[ftcn]
functional status impairment	1	Impairment	C0684336	[patf]
functioning in personal care	1	Personal care	C0036592	[dora]
fundoscopy	1	Funduscopy	C0029090	[diap]
fungal infection	1	FUNGAL INFECTION	C0026946	[dsyn]
furazolidone	1	FURAZOLIDONE	C0016855	"[antb, orch]"
furosemide	1	FUROSEMIDE	C0016860	"[orch, phsu]"
